,State,Year,Drug/Alcohol Induced,Drug/Alcohol Induced Cause,Deaths,Crude Rate
1216,Georgia,2007,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",37,0.4
1217,Georgia,2007,Alcohol-induced causes,All other alcohol-induced causes,468,5.0
1219,Georgia,2008,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),791,8.3
1220,Georgia,2008,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),108,1.1
1221,Georgia,2008,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),35,0.4
1222,Georgia,2008,Drug-induced causes,All other drug-induced causes,42,0.4
1223,Georgia,2008,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",51,0.5
1224,Georgia,2008,Alcohol-induced causes,All other alcohol-induced causes,430,4.5
1226,Georgia,2009,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),854,8.9
1227,Georgia,2009,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),105,1.1
1228,Georgia,2009,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),46,0.5
1229,Georgia,2009,Drug-induced causes,All other drug-induced causes,36,0.4
1230,Georgia,2009,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",53,0.6
1231,Georgia,2009,Alcohol-induced causes,All other alcohol-induced causes,480,5.0
1233,Georgia,2010,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),876,9.0
1234,Georgia,2010,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),131,1.4
1235,Georgia,2010,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),45,0.5
1236,Georgia,2010,Drug-induced causes,All other drug-induced causes,70,0.7
1237,Georgia,2010,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",75,0.8
1238,Georgia,2010,Alcohol-induced causes,All other alcohol-induced causes,555,5.7
1240,Georgia,2011,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),921,9.4
1241,Georgia,2011,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),107,1.1
1242,Georgia,2011,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),28,0.3
1243,Georgia,2011,Drug-induced causes,All other drug-induced causes,54,0.6
1244,Georgia,2011,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",54,0.6
1245,Georgia,2011,Alcohol-induced causes,All other alcohol-induced causes,539,5.5
1247,Georgia,2012,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),911,9.2
1248,Georgia,2012,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),110,1.1
1249,Georgia,2012,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),31,0.3
1250,Georgia,2012,Drug-induced causes,All other drug-induced causes,59,0.6
1251,Georgia,2012,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",58,0.6
1252,Georgia,2012,Alcohol-induced causes,All other alcohol-induced causes,578,5.8
1254,Georgia,2013,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),940,9.4
1255,Georgia,2013,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),124,1.2
1256,Georgia,2013,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),32,0.3
1257,Georgia,2013,Drug-induced causes,All other drug-induced causes,62,0.6
1258,Georgia,2013,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",58,0.6
1259,Georgia,2013,Alcohol-induced causes,All other alcohol-induced causes,615,6.2
1261,Georgia,2014,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),1041,10.3
1262,Georgia,2014,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),131,1.3
1263,Georgia,2014,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),32,0.3
1264,Georgia,2014,Drug-induced causes,All other drug-induced causes,62,0.6
1265,Georgia,2014,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",41,0.4
1266,Georgia,2014,Alcohol-induced causes,All other alcohol-induced causes,633,6.3
1268,Georgia,2015,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),1152,11.3
1269,Georgia,2015,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),116,1.1
1270,Georgia,2015,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),29,0.3
1271,Georgia,2015,Drug-induced causes,All other drug-induced causes,68,0.7
1272,Georgia,2015,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",42,0.4
1273,Georgia,2015,Alcohol-induced causes,All other alcohol-induced causes,684,6.7
1275,Georgia,2016,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),1249,12.1
1276,Georgia,2016,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),110,1.1
1277,Georgia,2016,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),33,0.3
1278,Georgia,2016,Drug-induced causes,All other drug-induced causes,67,0.6
1279,Georgia,2016,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",55,0.5
1280,Georgia,2016,Alcohol-induced causes,All other alcohol-induced causes,737,7.1
1282,Georgia,2017,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),1385,13.3
1283,Georgia,2017,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),111,1.1
1284,Georgia,2017,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),39,0.4
1285,Georgia,2017,Drug-induced causes,All other drug-induced causes,92,0.9
1286,Georgia,2017,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",53,0.5
1287,Georgia,2017,Alcohol-induced causes,All other alcohol-induced causes,795,7.6
1289,Hawaii,1999,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),36,3.0
1291,Hawaii,1999,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),27,2.2
1292,Hawaii,1999,Alcohol-induced causes,All other alcohol-induced causes,36,3.0
1294,Hawaii,2000,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),29,2.4
1297,Hawaii,2000,Alcohol-induced causes,All other alcohol-induced causes,38,3.1
1299,Hawaii,2001,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),40,3.3
1302,Hawaii,2001,Alcohol-induced causes,All other alcohol-induced causes,36,2.9
1304,Hawaii,2002,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),53,4.3
1307,Hawaii,2002,Alcohol-induced causes,All other alcohol-induced causes,43,3.5
1309,Hawaii,2003,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),62,5.0
1313,Hawaii,2003,Alcohol-induced causes,All other alcohol-induced causes,30,2.4
1315,Hawaii,2004,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),67,5.3
1317,Hawaii,2004,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),25,2.0
1318,Hawaii,2004,Drug-induced causes,All other drug-induced causes,25,2.0
1319,Hawaii,2004,Alcohol-induced causes,All other alcohol-induced causes,64,5.0
1321,Hawaii,2005,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),71,5.5
1323,Hawaii,2005,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),41,3.2
1325,Hawaii,2005,Alcohol-induced causes,All other alcohol-induced causes,49,3.8
1327,Hawaii,2006,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),61,4.7
1329,Hawaii,2006,Drug-induced causes,All other drug-induced causes,45,3.4
1330,Hawaii,2006,Alcohol-induced causes,All other alcohol-induced causes,64,4.9
1332,Hawaii,2007,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),87,6.6
1333,Hawaii,2007,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),41,3.1
1334,Hawaii,2007,Alcohol-induced causes,All other alcohol-induced causes,79,6.0
1336,Hawaii,2008,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),88,6.6
1338,Hawaii,2008,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),22,1.7
1340,Hawaii,2008,Alcohol-induced causes,All other alcohol-induced causes,64,4.8
1342,Hawaii,2009,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),94,7.0
1344,Hawaii,2009,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),29,2.2
1346,Hawaii,2009,Alcohol-induced causes,All other alcohol-induced causes,89,6.6
1348,Hawaii,2010,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),97,7.1
1349,Hawaii,2010,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),25,1.8
1350,Hawaii,2010,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),28,2.1
1351,Hawaii,2010,Alcohol-induced causes,All other alcohol-induced causes,82,6.0
1353,Hawaii,2011,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),107,7.8
1354,Hawaii,2011,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),25,1.8
1355,Hawaii,2011,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),48,3.5
1356,Hawaii,2011,Alcohol-induced causes,All other alcohol-induced causes,82,6.0
1358,Hawaii,2012,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),96,6.9
1359,Hawaii,2012,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),28,2.0
1360,Hawaii,2012,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),31,2.2
1361,Hawaii,2012,Alcohol-induced causes,All other alcohol-induced causes,81,5.8
1363,Hawaii,2013,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),118,8.4
1364,Hawaii,2013,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),22,1.6
1366,Hawaii,2013,Alcohol-induced causes,All other alcohol-induced causes,66,4.7
1368,Hawaii,2014,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),112,7.9
1369,Hawaii,2014,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),31,2.2
1372,Hawaii,2014,Alcohol-induced causes,All other alcohol-induced causes,84,5.9
1374,Hawaii,2015,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),139,9.7
1377,Hawaii,2015,Alcohol-induced causes,All other alcohol-induced causes,90,6.3
1379,Hawaii,2016,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),168,11.8
1382,Hawaii,2016,Alcohol-induced causes,All other alcohol-induced causes,91,6.4
1384,Hawaii,2017,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),158,11.1
1385,Hawaii,2017,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),28,2.0
1388,Hawaii,2017,Alcohol-induced causes,All other alcohol-induced causes,88,6.2
1390,Idaho,1999,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),39,3.1
1392,Idaho,1999,Alcohol-induced causes,All other alcohol-induced causes,74,5.8
1394,Idaho,2000,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),32,2.5
1397,Idaho,2000,Alcohol-induced causes,All other alcohol-induced causes,104,8.0
1399,Idaho,2001,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),58,4.4
1400,Idaho,2001,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),25,1.9
1402,Idaho,2001,Alcohol-induced causes,All other alcohol-induced causes,122,9.2
1404,Idaho,2002,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),74,5.5
1405,Idaho,2002,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),22,1.6
1406,Idaho,2002,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),21,1.6
1407,Idaho,2002,Alcohol-induced causes,All other alcohol-induced causes,118,8.8
1409,Idaho,2003,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),57,4.2
1410,Idaho,2003,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),22,1.6
1411,Idaho,2003,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),22,1.6
1413,Idaho,2003,Alcohol-induced causes,All other alcohol-induced causes,133,9.8
1415,Idaho,2004,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),66,4.7
1419,Idaho,2004,Alcohol-induced causes,All other alcohol-induced causes,119,8.6
1421,Idaho,2005,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),64,4.5
1422,Idaho,2005,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),21,1.5
1423,Idaho,2005,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),23,1.6
1424,Idaho,2005,Alcohol-induced causes,All other alcohol-induced causes,135,9.5
1426,Idaho,2006,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),86,5.9
1427,Idaho,2006,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),26,1.8
1430,Idaho,2006,Alcohol-induced causes,All other alcohol-induced causes,124,8.4
1432,Idaho,2007,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),88,5.8
1433,Idaho,2007,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),22,1.5
1435,Idaho,2007,Alcohol-induced causes,All other alcohol-induced causes,144,9.6
1437,Idaho,2008,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),90,5.9
1438,Idaho,2008,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),31,2.0
1439,Idaho,2008,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),24,1.6
1440,Idaho,2008,Alcohol-induced causes,All other alcohol-induced causes,164,10.7
1442,Idaho,2009,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),100,6.4
1443,Idaho,2009,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),43,2.8
1444,Idaho,2009,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),28,1.8
1447,Idaho,2009,Alcohol-induced causes,All other alcohol-induced causes,153,9.8
1449,Idaho,2010,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),116,7.4
1450,Idaho,2010,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),34,2.2
1451,Idaho,2010,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),28,1.8
1452,Idaho,2010,Alcohol-induced causes,All other alcohol-induced causes,154,9.8
1454,Idaho,2011,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),118,7.4
1455,Idaho,2011,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),44,2.8
1456,Idaho,2011,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),31,2.0
1457,Idaho,2011,Alcohol-induced causes,All other alcohol-induced causes,175,11.0
1459,Idaho,2012,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),113,7.1
1460,Idaho,2012,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),27,1.7
1461,Idaho,2012,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),40,2.5
1462,Idaho,2012,Alcohol-induced causes,All other alcohol-induced causes,209,13.1
1464,Idaho,2013,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),142,8.8
1465,Idaho,2013,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),38,2.4
1466,Idaho,2013,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),27,1.7
1469,Idaho,2013,Alcohol-induced causes,All other alcohol-induced causes,205,12.7
1471,Idaho,2014,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),146,8.9
1472,Idaho,2014,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),44,2.7
1473,Idaho,2014,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),22,1.3
1475,Idaho,2014,Alcohol-induced causes,All other alcohol-induced causes,217,13.3
1477,Idaho,2015,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),148,8.9
1478,Idaho,2015,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),46,2.8
1479,Idaho,2015,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),23,1.4
1481,Idaho,2015,Alcohol-induced causes,All other alcohol-induced causes,228,13.8
1483,Idaho,2016,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),181,10.8
1484,Idaho,2016,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),37,2.2
1485,Idaho,2016,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),25,1.5
1487,Idaho,2016,Alcohol-induced causes,All other alcohol-induced causes,215,12.8
1489,Idaho,2017,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),180,10.5
1490,Idaho,2017,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),37,2.2
1492,Idaho,2017,Drug-induced causes,All other drug-induced causes,28,1.6
1493,Idaho,2017,Alcohol-induced causes,All other alcohol-induced causes,212,12.3
1495,Illinois,1999,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),691,5.6
1496,Illinois,1999,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),98,0.8
1497,Illinois,1999,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),32,0.3
1498,Illinois,1999,Drug-induced causes,All other drug-induced causes,47,0.4
1499,Illinois,1999,Alcohol-induced causes,All other alcohol-induced causes,639,5.2
1501,Illinois,2000,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),731,5.9
1502,Illinois,2000,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),110,0.9
1503,Illinois,2000,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),25,0.2
1504,Illinois,2000,Drug-induced causes,All other drug-induced causes,42,0.3
1505,Illinois,2000,Alcohol-induced causes,All other alcohol-induced causes,554,4.5
1507,Illinois,2001,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),729,5.8
